Customer_ID,First_Name,Last_Name,Email,Phone,Membership_Levl,Points,Join_Date ,Last_Visit,Preferred_Theater_ID,Total_Spend,Visit_Frequency,Customer_Status,Preferred_Genre,Helper_Date,Helper_Customer_Status,Helper _Customer_Status distribution,New _ Helper_customer
15,Rica,Amey,rameye@google.es,829-520-1736,Silver,302,03/09/2023,20/01/2024,3,77,3.5,Reactivated,Documentary,45311,Post-Implementation,9,Reactivated
16,Deva,Haslum,dhaslumf@studiopress.com,327-952-4410,Bronze,273,14/12/2022,27/02/2024,6,945,0.1,Lapsed,Action,45349,Pre-Implementation,2,Lapsed
17,Laughton,Peery,lpeeryg@java.com,165-161-9125,Gold,295,13/09/2024,16/09/2024,3,1847,0.5,Active,Horror,45551,Post-Implementation,5,Active
18,Beltran,Scroxton,bscroxtonh@360.cn,718-901-4326,Silver,176,15/02/2023,12/05/2024,1,868,3.8,Active,Drama,45424,Implementation,2,Active
19,Guntar,Coleby,gcolebyi@huffingtonpost.com,656-899-4379,Gold,132,12/09/2024,09/12/2024,2,1672,2.1,Lapsed,Comedy,45635,Post-Implementation,10,Lapsed
20,Emanuel,Pagnin,epagninj@symantec.com,133-953-5229,Silver,401,02/01/2023,25/05/2024,1,446,3.9,Lapsed,Comedy,45437,Implementation,10,Lapsed
21,Isa,Fridlington,ifridlingtonk@comcast.net,198-652-3930,Gold,121,26/02/2023,18/01/2024,3,1035,0.5,Active,Drama,45309,Implementation,5,Active
22,Cathee,Abelevitz,cabelevitzl@netvibes.com,564-834-2948,Silver,466,28/04/2023,29/04/2024,7,395,3.6,Active,Action,45411,Implementation,2,Active
23,Trenton,Minihan,tminihanm@odnoklassniki.ru,220-516-6029,Silver,713,18/08/2022,06/06/2024,6,846,0.8,Lapsed,Documentary,45449,Pre-Implementation,4,Lapsed
24,Murdoch,Tubridy,mtubridyn@nyu.edu,140-329-7294,Gold,424,08/07/2022,22/09/2024,3,1135,3.4,Lapsed,Documentary,45557,Pre-Implementation,3,Lapsed
25,Joni,Wallman,jwallmano@ucsd.edu,740-865-5393,Silver,305,19/11/2023,28/04/2024,3,605,3.2,Active,Sci-Fi,45410,Post-Implementation,7,Active
26,Davida,Berlin,dberlinp@csmonitor.com,813-946-9918,Gold,670,07/07/2023,24/08/2024,5,1625,1.6,Active,Documentary,45528,Post-Implementation,7,Active
27,Myrna,Kinnie,mkinnieq@cbsnews.com,376-233-9963,Silver,490,27/03/2023,05/10/2024,1,898,2.5,Active,Comedy,45570,Implementation,6,Active
28,Flossie,Wickman,fwickmanr@wikimedia.org,482-391-0154,Gold,863,14/12/2023,04/08/2024,4,1031,1.9,Active,Action,45508,Post-Implementation,7,Active
29,Afton,Comini,acominis@sciencedirect.com,475-603-8592,Bronze,345,12/12/2023,02/02/2024,5,1696,3.9,Active,Sci-Fi,45324,Post-Implementation,5,Active
30,Carola,Carss,ccarsst@com.com,347-899-3275,Gold,296,08/07/2024,12/12/2024,5,1719,4,Active,Comedy,45638,Post-Implementation,1,Active
31,Gard,Shevell,gshevellu@fotki.com,473-803-0355,Gold,636,20/05/2024,25/05/2024,1,302,2.1,Active,Horror,45437,Post-Implementation,1,Active
32,Leland,Iannitti,liannittiv@sina.com.cn,440-676-2316,Bronze,786,11/09/2022,12/08/2024,7,875,1.1,Lapsed,Comedy,45516,Pre-Implementation,1,Lapsed
33,Garth,Samuels,gsamuelsw@redcross.org,705-828-1500,Silver,533,14/08/2023,27/04/2024,1,1071,0.4,Active,Drama,45409,Post-Implementation,6,Active
34,Currie,Pikesley,cpikesleyx@ocn.ne.jp,513-526-7366,Bronze,328,26/12/2024,13/11/2024,7,423,2.1,Active,Family,45683,Post-Implementation,4,Active
35,Gabriele,MacMeekan,gmacmeekany@huffingtonpost.com,208-509-5397,Gold,855,16/05/2022,13/06/2024,4,1309,3.9,Lapsed,Action,45456,Pre-Implementation,4,Lapsed
36,Heinrik,Gater,hgaterz@yandex.ru,802-371-0932,Bronze,530,25/05/2023,09/06/2024,2,1176,1.9,Reactivated,Thriller,45452,Implementation,9,Reactivated
37,Prent,Lindstedt,plindstedt10@quantcast.com,997-960-0873,Bronze,598,23/01/2023,04/01/2024,4,763,3.4,Active,Comedy,45295,Implementation,4,Active
38,Dael,Farrant,dfarrant11@twitter.com,315-906-2913,Bronze,111,05/09/2022,03/03/2024,3,476,2.5,Active,Family,45354,Pre-Implementation,7,Active
39,Culley,Belsham,cbelsham12@cdbaby.com,402-757-5859,Silver,484,28/04/2023,08/02/2024,1,146,2.1,Active,Comedy,45330,Implementation,7,Active
40,Bartram,Huard,bhuard13@virginia.edu,957-368-1954,Silver,343,14/07/2023,02/07/2024,5,483,0.5,Active,Sci-Fi,45475,Post-Implementation,2,Active
41,Zelda,Chubb,zchubb14@google.com,575-151-5122,Bronze,400,09/09/2024,13/04/2024,2,1348,0.3,Active,Comedy,45574,Post-Implementation,6,Active
42,Bev,Brundell,bbrundell15@diigo.com,517-445-4955,Bronze,848,22/10/2023,30/04/2024,4,145,1.2,Reactivated,Horror,45412,Post-Implementation,9,Reactivated
43,Truda,Schofield,tschofield16@marriott.com,112-280-7076,Silver,667,26/04/2023,23/04/2024,5,1206,2.9,Reactivated,Comedy,45405,Implementation,8,Reactivated
44,Jackqueline,Waudby,jwaudby17@opensource.org,504-542-9536,Bronze,371,24/01/2023,19/06/2024,3,1984,0.5,Active,Thriller,45462,Implementation,5,Active
45,Umeko,Lafferty,ulafferty18@geocities.com,372-715-4251,Gold,752,01/05/2023,13/08/2024,4,275,3.2,Active,Thriller,45517,Implementation,4,Active
46,Anita,Condell,acondell19@who.int,410-841-7747,Silver,877,13/11/2022,06/05/2024,7,1864,3.8,Lapsed,Drama,45418,Pre-Implementation,2,Lapsed
47,Elva,Wickardt,ewickardt1a@bbb.org,301-928-8873,Silver,908,05/02/2024,21/07/2024,5,721,3.7,Active,Action,45494,Post-Implementation,6,Active
48,Trudey,Glowach,tglowach1b@skyrock.com,828-125-3164,Bronze,243,01/06/2023,16/11/2024,5,863,2.3,Active,Thriller,45612,Implementation,6,Active
49,Tracy,Roebottom,troebottom1c@livejournal.com,221-646-4717,Bronze,143,01/06/2023,23/02/2024,4,673,2.1,Active,Family,45345,Implementation,1,Active
50,Helen,Roddell,hroddell1d@toplist.cz,360-264-9995,Silver,564,29/05/2024,15/05/2024,6,188,0.3,Lapsed,Comedy,45472,Post-Implementation,10,Lapsed
51,Luca,Beckley,lbeckley1e@ning.com,231-624-2472,Bronze,291,29/12/2023,30/07/2024,7,597,0.2,Active,Thriller,45503,Post-Implementation,4,Active
52,Alwin,Speir,aspeir1f@businessinsider.com,143-969-1422,Gold,988,12/07/2023,10/08/2024,6,1804,3.7,Lapsed,Family,45514,Post-Implementation,10,Lapsed
53,Lucy,Isacsson,lisacsson1g@wiley.com,164-980-5506,Silver,779,01/10/2024,09/03/2024,5,530,2.2,Active,Drama,45597,Post-Implementation,6,Active
54,Tobe,Marin,tmarin1h@hatena.ne.jp,141-642-4474,Silver,120,12/01/2022,13/10/2024,3,1822,0.3,Lapsed,Family,45578,Pre-Implementation,1,Lapsed
55,Suki,Ingray,singray1i@washingtonpost.com,875-822-2073,Bronze,898,29/09/2024,19/06/2024,1,268,2.1,Active,Documentary,45594,Post-Implementation,1,Active
56,Odelia,Wimpress,owimpress1j@nymag.com,198-405-6103,Silver,900,30/12/2023,17/01/2024,5,782,1.3,Active,Comedy,45308,Post-Implementation,2,Active
57,Heath,Beaby,hbeaby1k@lulu.com,594-156-5092,Silver,53,15/04/2024,19/03/2024,6,680,0.7,Lapsed,Comedy,45427,Post-Implementation,10,Lapsed
58,Dottie,Shuxsmith,dshuxsmith1l@clickbank.net,676-179-3356,Bronze,102,26/07/2023,02/07/2024,5,1923,2.9,Active,Horror,45475,Post-Implementation,7,Active
59,Caroline,Jennemann,cjennemann1m@microsoft.com,755-373-9152,Gold,88,07/04/2024,30/03/2024,3,1433,1.6,Lapsed,Thriller,45419,Post-Implementation,10,Lapsed
60,Sibelle,Imlock,simlock1n@storify.com,192-456-3130,Silver,685,27/05/2022,24/04/2024,4,69,1.8,Lapsed,Sci-Fi,45406,Pre-Implementation,1,Lapsed
61,Kerianne,Eagers,keagers1o@hc360.com,158-778-4614,Bronze,859,12/03/2023,07/07/2024,2,1663,2.3,Active,Documentary,45480,Implementation,3,Active
62,Mercie,Vasenin,mvasenin1p@g.co,114-849-0433,Gold,822,14/09/2024,22/01/2024,2,174,1.4,Active,Horror,45579,Post-Implementation,8,Active
63,Nell,Ferrie,nferrie1q@rambler.ru,481-989-8648,Gold,342,22/01/2023,27/03/2024,6,1704,3.5,Active,Horror,45378,Implementation,7,Active
64,Annetta,Vairow,avairow1r@bloglovin.com,176-878-7965,Bronze,894,30/10/2022,09/02/2024,7,401,2.1,Lapsed,Comedy,45331,Pre-Implementation,5,Lapsed
65,Thalia,Kitchingham,tkitchingham1s@earthlink.net,815-895-5200,Bronze,843,08/05/2022,02/07/2024,3,1715,2.2,Lapsed,Horror,45475,Pre-Implementation,6,Lapsed
66,Ermin,Bims,ebims1t@youtube.com,774-494-3455,Gold,706,20/11/2022,30/11/2024,7,109,0.3,Lapsed,Thriller,45626,Pre-Implementation,1,Lapsed
67,Liana,Tonkin,ltonkin1u@ask.com,106-554-1579,Gold,248,13/06/2024,25/07/2024,2,1394,3.9,Active,Comedy,45498,Post-Implementation,1,Active
68,Alaric,Soeiro,asoeiro1v@nydailynews.com,820-799-9552,Gold,80,18/03/2023,01/10/2024,6,748,2.6,Active,Family,45566,Implementation,5,Active
69,Daron,Ballantine,dballantine1w@mac.com,521-126-8682,Gold,827,04/02/2023,18/06/2024,1,870,3.5,Reactivated,Sci-Fi,45461,Implementation,9,Reactivated
70,Madalyn,Van Zon,mvanzon1x@guardian.co.uk,126-647-6145,Silver,609,29/11/2024,17/11/2024,3,181,0.5,Active,Horror,45655,Post-Implementation,3,Active
71,Ruddy,Lubman,rlubman1y@woothemes.com,712-331-2618,Bronze,194,26/07/2022,11/12/2024,3,1444,0.5,Lapsed,Family,45637,Pre-Implementation,5,Lapsed
72,Colby,McMullen,cmcmullen1z@google.pl,512-646-3246,Gold,661,05/04/2023,17/04/2024,7,1241,1.5,Lapsed,Thriller,45399,Implementation,10,Lapsed
73,Ricca,Midner,rmidner20@xrea.com,642-117-4707,Gold,856,01/03/2023,25/03/2024,3,1559,2.5,Active,Documentary,45376,Implementation,3,Active
74,Marcy,Fessier,mfessier21@purevolume.com,442-152-5327,Gold,680,01/08/2022,24/03/2024,5,750,2.5,Active,Drama,45375,Pre-Implementation,7,Active
75,Sol,Lorait,slorait22@cbslocal.com,958-991-0073,Silver,325,14/02/2023,11/03/2024,4,1566,0.8,Active,Comedy,45362,Implementation,7,Active
76,Joleen,Seward,jseward23@github.com,171-741-4527,Gold,325,21/12/2024,19/02/2024,2,1409,1.8,Active,Thriller,45678,Post-Implementation,8,Active
77,Terrijo,Guite,tguite24@baidu.com,596-325-7735,Bronze,879,30/10/2022,04/01/2024,3,1025,3.6,Lapsed,Comedy,45295,Pre-Implementation,5,Lapsed
78,Gunner,Dobbins,gdobbins25@drupal.org,335-332-9444,Bronze,254,01/03/2023,16/07/2024,7,1759,1.9,Active,Family,45489,Implementation,2,Active
79,Onida,Castagneto,ocastagneto26@chron.com,689-861-5060,Gold,127,28/09/2022,26/05/2024,2,1131,0.1,Reactivated,Action,45438,Pre-Implementation,10,Reactivated
80,Clarke,Flament,cflament27@soup.io,939-293-9524,Bronze,136,16/05/2023,29/10/2024,1,1087,3.6,Active,Documentary,45594,Implementation,2,Active
81,Garnette,Wych,gwych28@mail.ru,722-919-1818,Silver,161,01/10/2024,20/09/2024,7,771,4,Active,Action,45597,Post-Implementation,4,Active
82,Kip,Children,kchildren29@1688.com,854-126-6709,Gold,737,28/05/2024,22/03/2024,7,664,3.4,Active,Family,45471,Post-Implementation,4,Active
83,Adelina,O' Dornan,aodornan2a@mac.com,247-276-5288,Bronze,432,20/04/2022,30/09/2024,2,287,3.2,Reactivated,Sci-Fi,45565,Pre-Implementation,10,Reactivated
84,Cecile,Lugg,clugg2b@lycos.com,873-961-8702,Gold,934,13/06/2023,10/08/2024,1,1949,0.7,Lapsed,Drama,45514,Implementation,10,Lapsed
85,Sharline,Cuming,scuming2c@engadget.com,906-478-6293,Bronze,932,06/04/2023,25/06/2024,6,1200,3.7,Active,Comedy,45468,Implementation,6,Active
86,Winifield,Powrie,wpowrie2d@ebay.co.uk,838-729-5572,Silver,658,01/02/2024,14/07/2024,2,1181,0.7,Active,Drama,45487,Post-Implementation,2,Active
87,Kingsly,Chidgey,kchidgey2e@moonfruit.com,793-593-5118,Bronze,728,02/12/2022,09/03/2024,3,572,1.5,Reactivated,Thriller,45360,Pre-Implementation,9,Reactivated
88,Betteanne,Kenn,bkenn2f@squidoo.com,837-659-2554,Silver,684,10/04/2023,23/11/2024,1,977,3.6,Active,Comedy,45619,Implementation,7,Active
89,Gregorio,Dumingos,gdumingos2g@statcounter.com,478-797-6878,Silver,559,22/06/2022,12/01/2024,7,106,1.9,Lapsed,Comedy,45303,Pre-Implementation,1,Lapsed
90,Else,Rix,erix2h@yelp.com,267-555-4204,Silver,948,01/12/2023,29/11/2024,3,1318,2.2,Lapsed,Action,45625,Post-Implementation,10,Lapsed
91,Janet,Brim,jbrim2i@bizjournals.com,354-912-5975,Silver,592,24/02/2023,22/05/2024,1,1247,2.5,Active,Thriller,45434,Implementation,2,Active
92,Anna-diana,Goldspink,agoldspink2j@umn.edu,825-887-6238,Bronze,284,17/11/2022,14/10/2024,2,990,0.4,Active,Documentary,45579,Pre-Implementation,8,Active
93,Weylin,Workes,wworkes2k@java.com,928-402-1561,Gold,195,21/05/2022,10/09/2024,3,237,2.4,Active,Horror,45545,Pre-Implementation,7,Active
94,Esther,Ciottoi,eciottoi2l@bloomberg.com,458-275-2634,Gold,221,27/04/2022,07/11/2024,2,1236,3.3,Lapsed,Thriller,45603,Pre-Implementation,2,Lapsed
95,Greer,Airth,gairth2m@jimdo.com,687-672-9405,Bronze,655,10/04/2022,27/02/2024,5,899,0.9,Lapsed,Sci-Fi,45349,Pre-Implementation,3,Lapsed
96,Franny,Fleischmann,ffleischmann2n@hexun.com,679-578-3745,Silver,525,04/07/2023,21/08/2024,2,519,0.4,Active,Family,45525,Post-Implementation,3,Active
97,Jacinthe,Deacon,jdeacon2o@soundcloud.com,339-480-2867,Silver,968,16/12/2024,01/06/2024,5,842,0.5,Active,Thriller,45673,Post-Implementation,8,Active
98,Tessy,Doore,tdoore2p@printfriendly.com,899-735-6651,Silver,120,20/04/2023,02/10/2024,7,996,2.2,Active,Sci-Fi,45567,Implementation,3,Active
99,Becca,Oaten,boaten2q@cyberchimps.com,464-641-8918,Bronze,648,21/05/2022,09/02/2024,6,1080,0.9,Lapsed,Action,45331,Pre-Implementation,5,Lapsed
100,Sidoney,McIleen,smcileen2r@ucoz.com,123-772-8611,Bronze,364,01/06/2024,31/01/2024,5,995,2.1,Reactivated,Drama,45474,Post-Implementation,9,Reactivated
101,Brynn,Daout,bdaout2s@nps.gov,103-903-7419,Bronze,339,11/11/2024,26/05/2024,5,1394,1.8,Lapsed,Documentary,45637,Post-Implementation,10,Lapsed
102,Meredeth,Collister,mcollister2t@technorati.com,153-235-9779,Silver,743,07/05/2022,16/06/2024,5,1017,0.4,Active,Documentary,45459,Pre-Implementation,8,Active
103,Geno,Culham,gculham2u@purevolume.com,904-661-7522,Silver,409,21/05/2022,16/04/2024,7,1821,4,Lapsed,Action,45398,Pre-Implementation,4,Lapsed
104,Terrence,Venart,tvenart2v@google.com,552-241-5832,Gold,688,13/07/2024,08/07/2024,4,1556,1.6,Active,Thriller,45517,Post-Implementation,6,Active
105,Mallorie,Neat,mneat2w@github.io,959-398-3566,Gold,620,10/10/2023,02/07/2024,1,707,0.8,Active,Horror,45475,Post-Implementation,4,Active
106,Gothart,Beddows,gbeddows2x@over-blog.com,793-946-6976,Gold,370,21/06/2023,04/02/2024,6,1553,2.5,Lapsed,Sci-Fi,45326,Implementation,10,Lapsed
107,Saxon,Huddy,shuddy2y@globo.com,582-208-3441,Gold,626,17/06/2022,26/08/2024,1,1834,3.2,Reactivated,Documentary,45530,Pre-Implementation,10,Reactivated
108,Corliss,Hamblin,chamblin2z@springer.com,216-671-2487,Bronze,473,22/07/2023,10/12/2024,1,340,0.7,Active,Sci-Fi,45636,Post-Implementation,5,Active
109,Tyne,Edgecumbe,tedgecumbe30@webnode.com,770-111-8765,Silver,534,31/07/2024,15/02/2024,1,1272,0.3,Active,Action,45535,Post-Implementation,4,Active
110,Bruce,Trevithick,btrevithick31@slashdot.org,680-574-7971,Bronze,627,09/06/2023,10/01/2024,6,1179,2.2,Active,Thriller,45301,Implementation,7,Active
111,Dukey,Grierson,dgrierson32@globo.com,266-767-8193,Gold,292,19/05/2024,28/07/2024,2,1004,2.8,Active,Family,45501,Post-Implementation,1,Active
112,Harley,Cargenven,hcargenven33@globo.com,668-343-6670,Gold,642,22/08/2023,14/04/2024,3,88,1.2,Active,Drama,45396,Post-Implementation,4,Active
113,Howey,Loy,hloy34@so-net.ne.jp,397-537-4058,Gold,622,29/04/2024,14/01/2024,4,1569,2.9,Active,Horror,45441,Post-Implementation,3,Active
114,Beverie,Bredee,bbredee35@home.pl,884-653-0981,Silver,220,19/05/2023,29/09/2024,4,191,1.2,Active,Horror,45564,Implementation,2,Active
115,Calli,Priddle,cpriddle36@mysql.com,983-585-7743,Silver,435,04/01/2023,12/01/2024,2,467,1.2,Reactivated,Documentary,45303,Implementation,8,Reactivated
116,Eveline,Pafford,epafford37@ibm.com,921-769-5506,Gold,973,02/03/2023,24/07/2024,7,1450,0.9,Active,Thriller,45497,Implementation,2,Active
117,Daren,Holbie,dholbie38@berkeley.edu,518-445-5232,Bronze,638,29/01/2023,18/11/2024,4,1623,2.1,Active,Comedy,45614,Implementation,3,Active
118,Cassandry,Cornu,ccornu39@pbs.org,825-516-6236,Gold,342,05/06/2024,20/01/2024,4,1220,2.6,Active,Drama,45478,Post-Implementation,5,Active
119,Lem,Stother,lstother3a@blogspot.com,781-183-9429,Silver,755,14/01/2023,20/06/2024,2,1087,1.3,Reactivated,Thriller,45463,Implementation,9,Reactivated
120,Pearla,Norker,pnorker3b@live.com,896-999-1500,Bronze,97,03/08/2023,21/10/2024,3,55,3.9,Active,Thriller,45586,Post-Implementation,8,Active
121,Dorree,Gossage,dgossage3c@hibu.com,157-982-0946,Bronze,159,15/10/2022,27/08/2024,1,1492,2.6,Active,Drama,45531,Pre-Implementation,7,Active
122,Heinrick,Hens,hhens3d@umn.edu,376-963-2312,Silver,643,19/08/2023,21/01/2024,6,1058,1.5,Active,Horror,45312,Post-Implementation,8,Active
123,Garek,Stribling,gstribling3e@redcross.org,698-396-7692,Bronze,259,05/01/2022,11/02/2024,2,1409,3.9,Lapsed,Comedy,45333,Pre-Implementation,5,Lapsed
124,Ingamar,Sweedland,isweedland3f@spiegel.de,351-980-4384,Gold,206,17/12/2022,09/08/2024,6,1766,3.9,Lapsed,Action,45513,Pre-Implementation,2,Lapsed
125,Samara,Goodbourn,sgoodbourn3g@amazon.co.uk,635-210-0987,Silver,279,29/07/2023,06/09/2024,6,1828,0.8,Active,Comedy,45541,Post-Implementation,2,Active
126,Sunny,Ashman,sashman3h@indiegogo.com,697-716-5877,Silver,843,13/11/2022,22/09/2024,1,1506,0.3,Reactivated,Sci-Fi,45557,Pre-Implementation,10,Reactivated
127,Evy,Cockley,ecockley3i@ovh.net,185-702-1921,Bronze,264,19/02/2023,30/07/2024,1,692,3.4,Active,Horror,45503,Implementation,5,Active
128,Adria,Battye,abattye3j@deviantart.com,451-203-6058,Silver,644,30/05/2023,10/02/2024,6,1879,3.9,Active,Action,45332,Implementation,3,Active
129,Ludvig,Steedman,lsteedman3k@answers.com,213-970-7097,Bronze,140,18/08/2024,02/03/2024,6,1575,2.1,Lapsed,Comedy,45553,Post-Implementation,10,Lapsed
130,Gerti,Van der Brugge,gvanderbrugge3l@ask.com,964-427-7777,Bronze,341,01/05/2022,09/08/2024,5,1453,3.5,Reactivated,Comedy,45513,Pre-Implementation,10,Reactivated
131,Doria,Jurzyk,djurzyk3m@aboutads.info,965-809-8904,Gold,406,19/07/2023,27/02/2024,2,1109,0.5,Active,Documentary,45349,Post-Implementation,7,Active
132,Fabian,Yea,fyea3n@blogger.com,935-966-9077,Silver,969,26/07/2023,05/07/2024,2,1664,0.3,Active,Documentary,45478,Post-Implementation,3,Active
133,Roselia,Francesco,rfrancesco3o@upenn.edu,213-420-3437,Bronze,418,27/02/2022,05/12/2024,4,970,3,Reactivated,Family,45631,Pre-Implementation,9,Reactivated
134,Beverlee,Wheatcroft,bwheatcroft3p@mozilla.org,393-502-5216,Bronze,242,23/03/2024,11/06/2024,1,140,1.7,Reactivated,Documentary,45454,Post-Implementation,9,Reactivated
135,Elbert,Dies,edies3q@yandex.ru,327-467-8534,Silver,746,07/04/2024,31/08/2024,7,768,0.6,Active,Comedy,45535,Post-Implementation,2,Active
136,Brandice,Breens,bbreens3r@joomla.org,388-336-0593,Silver,565,30/12/2022,26/04/2024,3,1077,3.1,Reactivated,Comedy,45408,Pre-Implementation,10,Reactivated
137,Corrine,Larciere,clarciere3s@phoca.cz,273-965-0352,Silver,171,22/06/2023,10/08/2024,2,754,3.7,Active,Comedy,45514,Implementation,2,Active
138,Theresa,Juggings,tjuggings3t@yahoo.co.jp,568-901-4556,Silver,646,31/07/2023,25/11/2024,3,1581,2,Active,Comedy,45621,Post-Implementation,5,Active
139,Karon,Crucetti,kcrucetti3u@state.gov,875-944-5450,Gold,253,04/04/2022,21/06/2024,7,357,0.8,Active,Thriller,45464,Pre-Implementation,8,Active
140,Cal,McIlraith,cmcilraith3v@naver.com,119-882-9227,Silver,862,18/02/2024,18/07/2024,4,1617,2.4,Reactivated,Sci-Fi,45491,Post-Implementation,9,Reactivated
141,Koralle,Ridgeway,kridgeway3w@taobao.com,866-603-6288,Gold,698,01/10/2023,23/06/2024,3,892,3.7,Active,Family,45466,Post-Implementation,1,Active
142,Tana,Espinha,tespinha3x@imageshack.us,567-343-6518,Gold,930,26/03/2023,16/03/2024,2,571,1.8,Reactivated,Documentary,45367,Implementation,9,Reactivated
143,Adelaide,Denniston,adenniston3y@mapquest.com,668-344-7226,Bronze,128,06/07/2023,16/07/2024,5,1051,2.5,Active,Drama,45489,Post-Implementation,8,Active
144,Amity,Rosterne,arosterne3z@meetup.com,527-700-7214,Bronze,425,28/02/2022,16/10/2024,7,556,3.9,Reactivated,Family,45581,Pre-Implementation,10,Reactivated
145,Suzanne,Lynd,slynd40@bigcartel.com,456-818-0850,Bronze,55,12/10/2024,16/12/2024,3,1991,2.5,Active,Drama,45642,Post-Implementation,3,Active
146,Beulah,Aleksankin,baleksankin41@vimeo.com,419-748-1341,Silver,163,23/08/2023,18/04/2024,2,1448,0.4,Active,Thriller,45400,Post-Implementation,8,Active
147,Lind,Huton,lhuton42@arstechnica.com,366-524-5054,Silver,511,05/09/2023,23/09/2024,3,1117,2.3,Active,Sci-Fi,45558,Post-Implementation,1,Active
148,Cathrin,Mogenot,cmogenot43@myspace.com,714-707-6784,Gold,67,08/11/2024,06/09/2024,5,484,3.1,Active,Comedy,45634,Post-Implementation,6,Active
149,Madeleine,Danelet,mdanelet44@economist.com,562-294-7302,Bronze,176,20/05/2023,06/01/2024,7,191,3,Active,Documentary,45297,Implementation,7,Active
150,Damara,Gawthrope,dgawthrope45@lulu.com,836-870-9959,Bronze,843,10/07/2022,05/05/2024,6,584,1.8,Reactivated,Thriller,45417,Pre-Implementation,10,Reactivated
151,Maxwell,Prozescky,mprozescky46@si.edu,471-620-6883,Bronze,217,19/03/2023,26/06/2024,5,1027,2,Reactivated,Drama,45469,Implementation,8,Reactivated
152,Concettina,McQuade,cmcquade47@fc2.com,496-633-0905,Gold,642,14/12/2024,18/11/2024,3,570,2,Active,Sci-Fi,45671,Post-Implementation,8,Active
153,Florian,Jessopp,fjessopp48@fc2.com,244-536-8201,Gold,316,22/05/2022,27/04/2024,5,1644,3.2,Reactivated,Family,45409,Pre-Implementation,10,Reactivated
154,Misha,Tschirasche,mtschirasche49@shareasale.com,561-409-3216,Bronze,614,17/06/2024,01/10/2024,3,1582,3.7,Active,Horror,45566,Post-Implementation,5,Active
155,Rene,Frisel,rfrisel4a@pagesperso-orange.fr,507-610-8383,Bronze,452,28/04/2023,07/09/2024,3,642,2.6,Lapsed,Comedy,45542,Implementation,10,Lapsed
156,Cori,Tineman,ctineman4b@amazon.com,112-292-8331,Silver,788,16/07/2022,18/09/2024,7,1276,3.2,Lapsed,Horror,45553,Pre-Implementation,4,Lapsed
157,Jannelle,Giddons,jgiddons4c@technorati.com,935-849-4812,Gold,619,21/05/2023,13/07/2024,7,1545,2.5,Active,Comedy,45486,Implementation,3,Active
158,Tibold,Trangmar,ttrangmar4d@scientificamerican.com,642-525-5267,Gold,403,18/01/2023,01/02/2024,6,1746,1.1,Reactivated,Horror,45323,Implementation,9,Reactivated
